time,flux,flux_err,centroid_col,centroid_row,cadenceno,quality
1748.1381225585938,3666.85986328125,1.7346076965332031,367.0,25.0,453,0
1748.1589965820312,3672.43017578125,1.737406849861145,367.0,25.0,454,0
1748.1798095703125,3672.31787109375,1.735884428024292,367.0,25.0,455,0
1748.2006225585938,3669.03857421875,1.7356194257736206,367.0,25.0,456,0
1748.2214965820312,3668.740478515625,1.7350044250488281,367.0,25.0,457,0
1748.2423095703125,3667.0576171875,1.734898328781128,367.0,25.0,458,0
1748.2631225585938,3667.364501953125,1.7386903762817383,367.0,25.0,459,0
1748.2839965820312,3661.805908203125,1.7337827682495117,367.0,25.0,460,0
1748.3048095703125,3661.73583984375,1.7356817722320557,367.0,25.0,461,0
1748.3256225585938,3654.5595703125,1.7318294048309326,367.0,25.0,462,0
1748.346435546875,3657.01611328125,1.7342735528945923,367.0,25.0,463,0
1748.3672485351562,3659.767822265625,1.7340264320373535,367.0,25.0,464,0
1748.3881225585938,3660.538818359375,1.7335082292556763,367.0,25.0,465,0
1748.408935546875,3660.693359375,1.7332571744918823,367.0,25.0,466,0
1748.4297485351562,3661.896728515625,1.7341123819351196,367.0,25.0,467,0
1748.4506225585938,3666.852294921875,1.7345333099365234,367.0,25.0,468,0
1748.471435546875,3666.4453125,1.734824299812317,367.0,25.0,469,0
1748.4922485351562,3675.558349609375,1.7363502979278564,367.0,25.0,470,0
1748.5131225585938,3676.787353515625,1.7375917434692383,367.0,25.0,471,0
1748.533935546875,3679.7568359375,1.7375952005386353,367.0,25.0,472,0
1748.5547485351562,3681.995361328125,1.7381742000579834,367.0,25.0,473,0
1748.5756225585938,3686.051513671875,1.7391489744186401,367.0,25.0,474,0
1748.596435546875,3689.865234375,1.740864634513855,367.0,25.0,475,0
1748.6172485351562,3694.46240234375,1.7415602207183838,367.0,25.0,476,0
1748.6381225585938,3697.065185546875,1.7412668466567993,367.0,25.0,477,0
1748.658935546875,3699.81103515625,1.7417817115783691,367.0,25.0,478,0
1748.6797485351562,3705.262939453125,1.7442282438278198,367.0,25.0,479,0
1748.7006225585938,3706.412841796875,1.7433453798294067,367.0,25.0,480,0
1748.721435546875,3714.77734375,1.744958758354187,367.0,25.0,481,0
1748.7422485351562,3719.0947265625,1.7472734451293945,367.0,25.0,482,0
1748.7631225585938,3717.690185546875,1.7458490133285522,367.0,25.0,483,0
1748.783935546875,3727.51123046875,1.7476447820663452,367.0,25.0,484,0
1748.8047485351562,3731.197021484375,1.750712275505066,367.0,25.0,485,0
1748.8256225585938,3736.966796875,1.749761939048767,367.0,25.0,486,0
1748.846435546875,3742.875244140625,1.75123131275177,367.0,25.0,487,0
1748.8672485351562,3745.747802734375,1.7517541646957397,367.0,25.0,488,0
1748.8881225585938,3749.821533203125,1.752851963043213,367.0,25.0,489,0
1748.908935546875,3749.68115234375,1.7525498867034912,367.0,25.0,490,0
1748.9297485351562,3750.887939453125,1.752729892730713,367.0,25.0,491,0
1748.9506225585938,3752.386962890625,1.7553369998931885,367.0,25.0,492,0
1748.971435546875,3750.486083984375,1.7531511783599854,367.0,25.0,493,0
1748.9922485351562,3753.618408203125,1.753499984741211,367.0,25.0,494,0
1749.0131225585938,3754.872802734375,1.754636526107788,367.0,25.0,495,0
1749.033935546875,3760.0869140625,1.7548387050628662,367.0,25.0,496,0
1749.0547485351562,3759.177978515625,1.7548192739486694,367.0,25.0,497,0
1749.0756225585938,3760.526123046875,1.7547502517700195,367.0,25.0,498,0
1749.096435546875,3759.298095703125,1.7546727657318115,367.0,25.0,499,0
1749.1172485351562,3767.50341796875,1.7567001581192017,367.0,25.0,500,0
1749.1381225585938,3767.504150390625,1.7571711540222168,367.0,25.0,501,0
1749.158935546875,3767.3544921875,1.7571818828582764,367.0,25.0,502,0
1749.1797485351562,3772.077392578125,1.7577247619628906,367.0,25.0,503,0
1749.2006225585938,3775.01904296875,1.7577532529830933,367.0,25.0,504,0
1749.221435546875,3769.024658203125,1.7566642761230469,367.0,25.0,505,0
1749.2422485351562,3765.1689453125,1.7569671869277954,367.0,25.0,506,0
1749.2631225585938,3769.243896484375,1.7566133737564087,367.0,25.0,507,0
1749.283935546875,3764.974365234375,1.7555408477783203,367.0,25.0,508,0
1749.3047485351562,3758.94677734375,1.7550007104873657,367.0,25.0,509,0
1749.3256225585938,3756.49169921875,1.7544803619384766,367.0,25.0,510,0
1749.346435546875,3755.3984375,1.753621220588684,367.0,25.0,511,0
1749.3672485351562,3752.49169921875,1.752941370010376,367.0,25.0,512,0
